Wall time,Step,Value
1615369341.361739,5,0.9072299599647522
1615369344.978245,18,0.9072734713554382
1615369346.688913,24,0.898952066898346
1615369351.205368,40,0.9068440794944763
1615369351.755969,42,0.8826040625572205
1615369352.686493,45,0.8665730357170105
1615369354.953548,53,0.8718428611755371
1615369355.844088,56,0.8628352284431458
1615369360.053731,71,0.8933717608451843
1615369360.850022,74,0.8702651262283325
1615369366.655952,94,0.9810874462127686
1615369370.742616,102,0.929648220539093
1615369372.113839,106,0.9270633459091187
1615369380.31179,126,0.8580729365348816
1615369384.831353,139,0.8768472671508789
1615369390.71142,155,0.8041236996650696
1615369391.597618,158,0.7552204132080078
1615369394.045744,167,0.7654431462287903
1615369396.962705,178,0.8228021860122681
1615369398.384171,183,0.9243119359016418
1615369398.932854,185,0.7047169804573059
1615369400.353382,190,0.7257281541824341
1615369415.58177,229,0.6500541567802429
1615369417.401235,234,0.7789291739463806
1615369422.696732,249,0.73008131980896
1615369424.556065,255,0.6217798590660095
1615369426.271845,260,0.6165865659713745
1615369428.172554,267,0.6415553092956543
1615369429.762441,273,0.5907959938049316
1615369435.504808,292,0.6625698208808899
1615369444.476793,308,0.6244344115257263
1615369445.128316,310,0.6942856907844543
1615369447.626684,318,0.6453264951705933
1615369451.393833,330,0.611940324306488
1615369454.307402,339,0.5646900534629822
1615369456.878731,347,0.6710144877433777
1615369461.606448,363,0.6002747416496277
1615369462.679174,367,0.625
1615369479.434474,421,0.5906362533569336
1615369479.678828,422,0.5462068915367126
1615369484.049071,439,0.5447761416435242
1615369484.794482,442,0.5598349571228027
1615369485.569205,445,0.5329744219779968
1615369489.554358,460,0.5487805008888245
1615369490.331864,463,0.5231214165687561
1615369490.589534,464,0.527220606803894
1615369493.149649,474,0.5109809637069702
1615369497.534954,491,0.5308310985565186
1615369498.03771,493,0.5339673757553101
1615369505.830249,514,0.5303643941879272
1615369510.283809,531,0.4979020953178406
1615369511.586486,536,0.4668769836425781
1615369518.571841,563,0.44104135036468506
1615369521.217334,573,0.5150375962257385
1615369522.75625,579,0.45258620381355286
1615369523.278344,581,0.4428364634513855
1615369524.57076,586,0.5073627829551697
1615369524.85099,587,0.4226006269454956
1615369531.007321,602,0.4841379225254059
1615369535.735813,620,0.48162728548049927
1615369536.253486,622,0.43786126375198364
1615369539.371323,634,0.4693877696990967
1615369541.207632,641,0.40735068917274475
1615369541.495046,642,0.4891008138656616
1615369541.98583,644,0.4449339210987091
1615369542.795427,647,0.4164178967475891
1615369543.295204,649,0.4672364592552185
1615369546.271713,661,0.45467033982276917
1615369548.81203,671,0.4095665216445923
1615369551.989099,683,0.4094955623149872
1615369553.399866,688,0.3856920599937439
1615369562.353636,714,0.4309309422969818
1615369563.398546,718,0.3940298557281494
1615369564.371949,722,0.411856472492218
1615369564.605506,723,0.4039938449859619
1615369566.446116,730,0.39438700675964355
1615369568.673686,739,0.4300000071525574
1615369569.689312,743,0.40915805101394653
1615369570.723669,747,0.3847305476665497
1615369571.989198,752,0.37025317549705505
1615369573.073123,756,0.3826219439506531
1615369575.26851,765,0.3748079836368561
1615369576.274234,769,0.455307275056839
1615369576.772623,771,0.3803030252456665
1615369577.330959,773,0.4097421169281006
1615369579.05005,780,0.4261603355407715
1615369580.272075,785,0.3923664093017578
1615369580.732979,787,0.39064857363700867
1615369582.022883,792,0.4357142746448517
1615369582.554672,794,0.41971829533576965
1615369583.582408,798,0.38343557715415955
1615369586.874401,802,0.411849707365036
1615369588.422571,808,0.3902798295021057
1615369588.684035,809,0.3904620110988617
1615369594.351386,832,0.36866360902786255
1615369595.371486,836,0.38794437050819397
1615369603.56755,869,0.36986300349235535
1615369605.354035,876,0.3333333432674408
1615369606.90535,882,0.3901018798351288
1615369610.602442,896,0.3627760112285614
1615369611.53647,900,0.35179153084754944
1615369615.499054,907,0.3565768599510193
1615369616.01853,909,0.3871449828147888
1615369617.607092,915,0.3961988389492035
1615369618.071998,917,0.3483146131038666
1615369621.519069,931,0.3528481125831604
1615369621.800334,932,0.3523809611797333
1615369624.348782,942,0.35179153084754944
1615369625.023648,945,0.3923865258693695
1615369627.267203,954,0.3671875
1615369628.230286,958,0.3806646466255188
1615369629.265765,962,0.3751890957355499
1615369631.53633,971,0.3802395164966583
1615369631.816665,972,0.38288289308547974
1615369633.362897,978,0.4057554006576538
1615369633.645464,979,0.353032648563385
1615369634.916527,984,0.39264705777168274
1615369641.773623,1002,0.3732057511806488
1615369642.588213,1005,0.36671802401542664
1615369644.834113,1014,0.32094594836235046
1615369652.565185,1044,0.3590138554573059
1615369655.94642,1057,0.35885167121887207
1615369657.461801,1063,0.3554868698120117
1615369658.186939,1066,0.34584012627601624
1615369658.661417,1068,0.33497536182403564
1615369659.740416,1072,0.35905513167381287
1615369661.3381,1078,0.30584192276000977
1615369662.53896,1083,0.3589743673801422
1615369665.148216,1093,0.3245469629764557
1615369666.684932,1099,0.36966824531555176
1615369670.29027,1104,0.33389830589294434
1615369672.940814,1114,0.3920367658138275
1615369674.201653,1119,0.37899544835090637
1615369683.515034,1156,0.3066439628601074
1615369684.571194,1160,0.3771517872810364
1615369684.797325,1161,0.31175467371940613
1615369685.052225,1162,0.3060200810432434
1615369689.716513,1180,0.3680981695652008
1615369692.802876,1192,0.3599373996257782
1615369693.05001,1193,0.37593984603881836
1615369694.549176,1199,0.3191489279270172
1615369698.586246,1206,0.32828283309936523
1615369705.237387,1232,0.32482993602752686
1615369708.238387,1244,0.28318583965301514
1615369711.065335,1255,0.33766233921051025
1615369711.819908,1258,0.34285715222358704
1615369712.666089,1261,0.33170732855796814
1615369717.970314,1281,0.33816424012184143
1615369719.580029,1287,0.3753753900527954
1615369721.399651,1294,0.30993151664733887
1615369722.969387,1300,0.32154881954193115
1615369729.295116,1316,0.33828383684158325
1615369730.023295,1319,0.30191972851753235
1615369732.80359,1330,0.30442479252815247
1615369733.613633,1333,0.38461539149284363
1615369734.418324,1336,0.3129138946533203
1615369734.656727,1337,0.3707317113876343
1615369746.642614,1385,0.2939130365848541
1615369747.40741,1388,0.31699347496032715
1615369748.174663,1391,0.2852112650871277
1615369748.418332,1392,0.273851603269577
1615369756.247841,1414,0.30016863346099854
1615369759.430387,1426,0.30323678255081177
1615369759.920731,1428,0.2927241921424866
1615369760.859859,1432,0.26486486196517944
1615369761.865435,1436,0.2839721143245697
1615369762.892532,1440,0.2806394398212433
1615369769.291159,1465,0.30531731247901917
1615369769.515655,1466,0.32781457901000977
1615369772.335812,1477,0.3074324429035187
1615369774.380506,1485,0.293718159198761
1615369775.452645,1489,0.2874354422092438
1615369775.909139,1491,0.30354130268096924
1615369782.232181,1508,0.26929983496665955
1615369786.031974,1523,0.27272728085517883
1615369787.037703,1527,0.28928571939468384
1615369793.335823,1552,0.2928082048892975
1615369797.475581,1568,0.284246563911438
1615369797.704325,1569,0.32172471284866333
1615369801.513638,1584,0.30756303668022156
1615369802.47608,1588,0.2847341299057007
1615369808.626238,1604,0.31893688440322876
1615369808.885463,1605,0.29301533102989197
1615369812.183262,1618,0.2676311135292053
1615369814.455691,1627,0.2908777892589569
1615369815.655747,1632,0.3076923191547394
1615369816.935503,1637,0.2794376015663147
1615369817.674042,1640,0.2871972322463989
1615369818.959023,1645,0.2761194109916687
1615369819.724272,1648,0.29421767592430115
1615369822.738606,1660,0.264598548412323
1615369824.809833,1668,0.27191412448883057
1615369826.54556,1675,0.3074324429035187
1615369828.34046,1682,0.27256637811660767
1615369830.668728,1691,0.29931971430778503
1615369831.635583,1695,0.3080808222293854
1615369832.139863,1697,0.3008403480052948
1615369832.632255,1699,0.2777777910232544
1615369835.570088,1702,0.30666667222976685
1615369837.34942,1709,0.2490842491388321
1615369839.752971,1718,0.3322734534740448
1615369842.283873,1728,0.2686832845211029
1615369843.406142,1732,0.27079644799232483
1615369843.959949,1734,0.2326454073190689
1615369844.684869,1737,0.2444852888584137
1615369845.952578,1742,0.23713235557079315
1615369846.735204,1745,0.24593128263950348
1615369847.015707,1746,0.28671327233314514
1615369847.237113,1747,0.2795138955116272
1615369852.289426,1766,0.2562277615070343
1615369854.565588,1775,0.25230202078819275
1615369856.070233,1781,0.24385632574558258
1615369857.772192,1788,0.2754386067390442
1615369858.02312,1789,0.2758007049560547
1615369860.287724,1798,0.2706502676010132
1615369864.151845,1805,0.24907748401165009
1615369869.422753,1826,0.28911563754081726
1615369870.424014,1830,0.23529411852359772
1615369872.95576,1840,0.2833935022354126
1615369874.034135,1844,0.25740739703178406
1615369876.274936,1853,0.29780033230781555
1615369879.516781,1866,0.2932203412055969
1615369880.285763,1869,0.2351851910352707
1615369881.853288,1875,0.26017698645591736
1615369882.38909,1877,0.21276596188545227
1615369893.015762,1911,0.22889305651187897
1615369894.490962,1917,0.24684683978557587
1615369898.891427,1934,0.23333333432674408
1615369899.447138,1936,0.2581818103790283
1615369901.47239,1944,0.23320895433425903
1615369902.200614,1947,0.23463687300682068
1615369902.717356,1949,0.23149904608726501
1615369907.232153,1967,0.23507462441921234
1615369910.736139,1981,0.2247191071510315
1615369911.226435,1983,0.26211848855018616
1615369917.963403,2001,0.21584159135818481
1615369919.022562,2005,0.2234848439693451
1615369921.067176,2013,0.23033708333969116
1615369925.536199,2030,0.24275362491607666
1615369927.157138,2036,0.24864864349365234
1615369933.43367,2060,0.20384615659713745
1615369936.484625,2072,0.22735674679279327
1615369936.723766,2073,0.2084130048751831
1615369937.520384,2076,0.24137930572032928
1615369937.790005,2077,0.21973928809165955
1615369938.273422,2079,0.24773959815502167
1615369938.835391,2081,0.20306512713432312
1615369939.821146,2085,0.21361058950424194
1615369940.834269,2089,0.23540489375591278
1615369942.589718,2096,0.23722627758979797
1615369948.718062,2111,0.2153846174478531
1615369957.472325,2145,0.200389102101326
1615369958.504915,2149,0.1980392187833786
1615369959.00415,2151,0.22990654408931732
1615369960.308273,2156,0.20000000298023224
1615369962.754053,2165,0.21739129722118378
1615369965.91465,2177,0.21032504737377167
1615369968.449748,2187,0.18199609220027924
1615369968.949827,2189,0.18590998649597168
1615369969.408278,2191,0.21992480754852295
1615369969.634241,2192,0.23247233033180237
1615369970.576008,2196,0.21739129722118378
1615369971.276441,2199,0.18074655532836914
1615369975.453249,2207,0.19573643803596497
1615369976.505561,2211,0.20155039429664612
1615369980.031581,2225,0.1872510015964508
1615369981.614963,2231,0.1873767226934433
1615369982.858523,2236,0.21212121844291687
1615369983.098323,2237,0.2188679277896881
1615369983.602828,2239,0.1805555522441864
1615369984.356074,2242,0.21523809432983398
1615369985.322585,2246,0.1906614750623703
1615369985.57672,2247,0.2201138585805893
1615369987.375765,2254,0.2351851910352707
1615369988.091788,2257,0.19260700047016144
1615369989.399691,2262,0.21550095081329346
1615369994.252715,2281,0.1976967304944992
1615369996.839152,2291,0.170634925365448
1615369998.317076,2297,0.1964636594057083
1615370002.070761,2303,0.15714286267757416
1615370003.122629,2307,0.17554239928722382
1615370006.054973,2319,0.19223301112651825
1615370006.294292,2320,0.18664047122001648
1615370012.660016,2345,0.15274949371814728
1615370014.992272,2354,0.19342359900474548
1615370019.239133,2371,0.21132075786590576
1615370023.775251,2389,0.20000000298023224
1615370024.021055,2390,0.22990654408931732
1615370024.50278,2392,0.18145956099033356
1615370029.321894,2402,0.17357002198696136
1615370030.259181,2406,0.20982986688613892
1615370035.034141,2425,0.1719367653131485
1615370037.816562,2436,0.17984189093112946
1615370039.849669,2444,0.18908381462097168
1615370041.352884,2450,0.17800000309944153
1615370041.617883,2451,0.17330677807331085
1615370042.120562,2453,0.20153550803661346
1615370042.633187,2455,0.17984189093112946
1615370043.883223,2460,0.18540434539318085
1615370050.268171,2485,0.14432989060878754
1615370050.557524,2486,0.17984189093112946
1615370053.088978,2496,0.13871635496616364
1615370053.642205,2498,0.15714286267757416
1615370057.106348,2503,0.21442125737667084
1615370060.644539,2517,0.16500994563102722
1615370062.172607,2523,0.18199609220027924
1615370064.475567,2532,0.2034548968076706
1615370068.260702,2547,0.1796875
1615370069.258391,2551,0.14897958934307098
1615370069.754661,2553,0.18640775978565216
1615370073.037396,2566,0.14867617189884186
1615370076.066599,2578,0.16565656661987305
1615370079.035974,2590,0.17519685626029968
1615370079.286545,2591,0.187007874250412
1615370081.523025,2600,0.15020576119422913
1615370085.233237,2606,0.1643286645412445
1615370089.537294,2623,0.1458333283662796
1615370091.018833,2629,0.1515151560306549
1615370091.291603,2630,0.17165668308734894
1615370093.378196,2638,0.20872865617275238
1615370094.854027,2644,0.16330644488334656
1615370096.395073,2650,0.19379845261573792
1615370097.726275,2655,0.17159762978553772
1615370103.709889,2678,0.15618661046028137
1615370105.418068,2685,0.16232465207576752
1615370106.683522,2690,0.18074655532836914
1615370112.201636,2703,0.13361169397830963
1615370114.050903,2710,0.13080169260501862
1615370117.792203,2725,0.1348547786474228
1615370120.741845,2737,0.13025210797786713
1615370121.502328,2740,0.14979757368564606
1615370125.038987,2754,0.13223139941692352
1615370125.265974,2755,0.15274949371814728
1615370125.810138,2757,0.1428571492433548
1615370133.902744,2789,0.1326315850019455
1615370134.133976,2790,0.14137214422225952
1615370134.419585,2791,0.1320754736661911
1615370136.057489,2798,0.13871635496616364
1615370140.924492,2809,0.11864406615495682
1615370144.843257,2824,0.1360824704170227
1615370146.160184,2829,0.12210526317358017
1615370154.017513,2859,0.11587982624769211
1615370157.489489,2872,0.14135020971298218
1615370159.77177,2881,0.12184873968362808
1615370162.004877,2890,0.13429751992225647
1615370163.490792,2896,0.1273486465215683
1615370164.533343,2900,0.17495030164718628
1615370170.915117,2917,0.12863071262836456
1615370171.370368,2919,0.12447257339954376
1615370171.610321,2920,0.1257861703634262
1615370174.586655,2932,0.12997902929782867
1615370179.143688,2950,0.1448979526758194
1615370183.50977,2967,0.14314928650856018
1615370185.535541,2975,0.13842974603176117
1615370191.354569,2998,0.12153518199920654
1615370195.628811,3007,0.11991434544324875
1615370196.176365,3009,0.12288135290145874
1615370196.754524,3011,0.1419753134250641
1615370197.784455,3015,0.11063829809427261
1615370198.020851,3016,0.1348547786474228
1615370200.821176,3027,0.11087419837713242
1615370201.643749,3030,0.12631578743457794
1615370203.738479,3038,0.13502109050750732
1615370204.459745,3041,0.10470085591077805
1615370206.742673,3050,0.15959596633911133
1615370210.556463,3065,0.1320754736661911
1615370211.504039,3069,0.13278008997440338
1615370211.993275,3071,0.11300639808177948
1615370215.839492,3086,0.13250517845153809
1615370219.105446,3099,0.10300429165363312
1615370227.237971,3122,0.12916666269302368
1615370231.13789,3137,0.12473572790622711
1615370231.422801,3138,0.1460905373096466
1615370233.153534,3145,0.12473572790622711
1615370234.439558,3150,0.08496732264757156
1615370235.710464,3155,0.1354166716337204
1615370236.769632,3159,0.08714596927165985
1615370237.303846,3161,0.11612903326749802
1615370241.293977,3177,0.0923076942563057
1615370245.78033,3195,0.10752688348293304
1615370246.05294,3196,0.11853448301553726
1615370250.011525,3203,0.11324786394834518
1615370250.792957,3206,0.10129310190677643
1615370256.86005,3230,0.1015118807554245
1615370257.662953,3233,0.10470085591077805
1615370259.554107,3240,0.13097712397575378
1615370260.345681,3243,0.13135592639446259
1615370260.635352,3244,0.13626834750175476
1615370261.16149,3246,0.10799136012792587
1615370261.450688,3247,0.10991379618644714
1615370267.689799,3272,0.09565217047929764
1615370269.854732,3281,0.11279826611280441
1615370278.036907,3305,0.10367170721292496
1615370280.105677,3313,0.10537634044885635
1615370283.72623,3327,0.0982532724738121
1615370283.99194,3328,0.08714596927165985
1615370285.294995,3333,0.12815126776695251
1615370288.305692,3345,0.11513859033584595
1615370295.672287,3374,0.1305263191461563
1615370296.144146,3376,0.09110628813505173
1615370296.687765,3378,0.09871244430541992
1615370298.601728,3386,0.09503239393234253
1615370305.127339,3403,0.08533916622400284
1615370306.335613,3408,0.09846827387809753
1615370312.12209,3430,0.11489361524581909
1615370312.875724,3433,0.093478262424469
1615370314.135862,3438,0.09565217047929764
1615370316.86802,3449,0.08351648598909378
1615370317.410966,3451,0.09170305728912354
1615370319.026103,3457,0.07709251344203949
1615370319.280109,3458,0.09978307783603668
1615370320.851247,3464,0.11158798635005951
1615370322.570407,3471,0.08533916622400284
1615370324.044519,3477,0.11777301877737045
1615370324.793881,3480,0.12421052902936935
1615370329.022426,3497,0.08315098285675049
1615370334.237636,3509,0.08752734959125519
1615370334.989179,3512,0.0798226147890091
1615370336.795251,3519,0.10300429165363312
1615370340.785541,3535,0.08791209012269974
1615370341.310054,3537,0.06772009283304214
1615370342.876877,3543,0.07256235927343369
1615370343.894985,3547,0.06094808131456375
1615370348.177526,3563,0.07111111283302307
1615370352.571265,3580,0.07743363082408905
1615370357.794599,3600,0.09761388599872589
1615370364.287585,3618,0.08552631735801697
1615370364.770249,3620,0.09935205429792404
1615370365.278991,3622,0.0752212405204773
1615370366.074699,3625,0.09698276221752167
1615370366.862574,3628,0.07300885021686554
1615370371.2266,3645,0.08515284210443497
1615370374.029498,3656,0.08714596927165985
1615370374.297624,3657,0.06067415699362755
1615370377.504746,3670,0.09482758492231369
1615370385.259216,3700,0.07709251344203949
1615370387.888487,3702,0.05869074538350105
1615370394.000336,3726,0.09649122506380081
1615370395.022924,3730,0.07488986849784851
1615370395.575063,3732,0.10129310190677643
1615370397.044904,3738,0.08695652335882187
1615370397.858292,3741,0.0647321417927742
1615370398.330893,3743,0.060538116842508316
1615370400.578375,3752,0.08951964974403381
1615370402.328899,3759,0.08714596927165985
1615370405.646677,3772,0.09110628813505173
1615370407.673623,3780,0.08533916622400284
1615370410.974407,3793,0.06516853719949722
1615370411.473821,3795,0.04794520512223244
1615370412.268574,3798,0.07555555552244186
1615370417.458649,3810,0.0833333358168602
1615370418.441696,3814,0.06306306272745132
1615370419.730014,3819,0.0958605632185936
1615370420.239577,3821,0.07726269215345383
1615370422.759948,3831,0.0813186839222908
1615370423.759374,3835,0.07111111283302307
1615370430.997284,3864,0.08951964974403381
1615370432.304088,3869,0.04988662153482437
1615370434.119678,3876,0.04137931019067764
1615370443.030246,3902,0.052511416375637054
1615370445.259932,3910,0.06378132104873657
1615370447.735143,3920,0.08733624219894409
1615370449.773716,3928,0.06334841996431351
1615370451.564037,3935,0.05681818351149559
1615370452.63833,3939,0.09471365809440613
1615370455.491901,3950,0.08533916622400284
1615370456.992091,3956,0.0813186839222908
1615370458.535163,3962,0.10329670459032059
1615370464.287502,3984,0.07505518943071365
1615370467.038229,3995,0.08971553295850754
1615370468.324976,4000,0.07505518943071365
1615370472.528835,4009,0.07538802921772003
1615370472.769091,4010,0.0760626420378685
1615370475.927734,4022,0.0810810774564743
1615370478.713791,4033,0.08695652335882187
1615370479.408416,4036,0.08590308576822281
1615370481.880509,4046,0.07743363082408905
1615370494.17092,4093,0.056433409452438354
1615370495.442309,4098,0.0669642835855484
1615370495.710303,4099,0.054054055362939835
1615370500.363185,4109,0.07726269215345383
1615370519.347365,4182,0.03464203327894211
1615370522.254149,4193,0.05191873759031296
1615370522.49276,4194,0.0813186839222908
1615370523.055632,4196,0.06306306272745132
1615370523.540767,4198,0.0731707289814949
1615370526.301011,4201,0.06487695872783661
1615370526.612183,4202,0.07126948982477188
1615370533.160479,4227,0.07572383433580399
1615370534.472121,4232,0.0691964253783226
1615370535.246986,4235,0.05630630627274513
1615370537.259758,4243,0.0669642835855484
1615370540.139844,4254,0.06935123354196548
1615370542.464452,4263,0.06067415699362755
1615370543.247255,4266,0.05895691737532616
1615370543.50358,4267,0.04772727191448212
1615370547.355763,4282,0.06666667014360428
1615370551.392705,4298,0.05882352963089943
1615370555.025349,4304,0.056433409452438354
