Wall time,Step,Value
1615546113.447571,18,0.8120826482772827
1615546387.205514,42,0.6461685299873352
1615546421.872294,45,0.7085330486297607
1615546548.665535,56,0.6148948669433594
1615546721.52631,71,0.5853805541992188
1615546755.29951,74,0.5427111983299255
1615546986.855343,94,0.5364450216293335
1615547695.951945,155,0.48272061347961426
1615547731.113722,158,0.4798676371574402
1615547834.271025,167,0.5197658538818359
1615548013.948844,183,0.4572933316230774
1615548549.298658,229,0.46513375639915466
1615548608.393541,234,0.48674285411834717
1615548853.647707,255,0.45012205839157104
1615548912.35785,260,0.4490712881088257
1615548994.593703,267,0.46546944975852966
1615549065.287409,273,0.44419804215431213
1615549475.60054,308,0.49336522817611694
1615549499.027826,310,0.4795647859573364
1615549593.956892,318,0.5017193555831909
1615549936.59332,347,0.4972189962863922
1615550174.16969,367,0.47929564118385315
1615550812.970534,421,0.4791286587715149
1615550824.711693,422,0.4626941978931427
1615551061.308778,442,0.4660433530807495
1615551097.25304,445,0.472444087266922
1615551274.97771,460,0.4995649456977844
1615551310.46639,463,0.47088906168937683
1615551322.148365,464,0.483843058347702
1615551441.279641,474,0.5174716711044312
1615551666.895216,493,0.44846323132514954
1615552185.091205,536,0.4182906746864319
1615552501.231654,563,0.42034053802490234
1615552688.697124,579,0.4605240821838379
1615552770.1882,586,0.4412366449832916
1615552782.177109,587,0.45044785737991333
1615553169.779067,620,0.4096164405345917
1615553331.991437,634,0.41140541434288025
1615553425.469942,642,0.42057305574417114
1615553449.052922,644,0.40175458788871765
1615553483.343133,647,0.38836878538131714
1615553507.036708,649,0.386410117149353
1615553649.957487,661,0.39790695905685425
1615553767.59455,671,0.41310107707977295
1615554272.694695,714,0.448004812002182
1615554366.375153,722,0.49946877360343933
1615554460.113811,730,0.5133212804794312
1615554721.406474,752,0.5014726519584656
1615554769.205053,756,0.5300058126449585
1615554876.647723,765,0.5541933178901672
1615554924.675026,769,0.6197158098220825
1615554947.692304,771,0.5587718486785889
1615555114.936253,785,0.6181514859199524
1615555138.702088,787,0.6656702160835266
1615555198.589188,792,0.7973876595497131
1615555222.403497,794,0.7536942958831787
1615555315.704882,802,0.5960693359375
1615555387.401036,808,0.5706079006195068
1615555399.01616,809,0.6291016936302185
1615555673.59516,832,0.7505185008049011
1615555721.591961,836,0.7104047536849976
1615556564.055025,907,0.8558353781700134
1615556588.22693,909,0.7525419592857361
1615556981.935822,942,0.9351953268051147
1615557016.399736,945,0.9282692074775696
1615557219.945465,962,0.9693476557731628
1615557326.778207,971,0.8433386087417603
1615557338.630162,972,0.8648152947425842
1615557410.302729,978,0.7563632130622864
1615557422.133692,979,0.82906574010849
1615557481.079729,984,0.8238962292671204
1615557693.969926,1002,0.9024561643600464
1615557729.80457,1005,0.9288648962974548
1615557837.85866,1014,0.7426578402519226
1615558421.81101,1063,0.7629680037498474
1615558458.271823,1066,0.8841818571090698
1615558529.446943,1072,0.8337094187736511
1615558600.183476,1078,0.8820502758026123
1615558659.759065,1083,0.798289954662323
1615558778.252668,1093,0.8403935432434082
1615558850.209592,1099,0.8773044943809509
