Wall time,Step,Value
1615518754.574003,18,0.8539761304855347
1615518759.812629,42,0.8601710200309753
1615518760.496365,45,0.8545644283294678
1615518766.519568,71,0.8449802398681641
1615518771.798609,94,0.6552101969718933
1615518790.086381,155,0.5465770363807678
1615518790.775215,158,0.5237097144126892
1615518792.867991,167,0.5204451084136963
1615518812.120198,229,0.35276052355766296
1615518813.26474,234,0.3594914674758911
1615518817.797747,255,0.33697497844696045
1615518820.523346,267,0.32882973551750183
1615518821.774429,273,0.324174165725708
1615518835.190549,308,0.2864533066749573
1615518835.662111,310,0.2636590898036957
1615518837.380265,318,0.25594469904899597
1615518843.933075,347,0.259907603263855
1615518848.185377,367,0.23893624544143677
1615518865.166083,421,0.2254158854484558
1615518873.767422,460,0.2259785234928131
1615518877.023479,474,0.21144741773605347
1615518895.597513,536,0.2080240100622177
1615518901.669925,563,0.20641887187957764
1615518905.379724,579,0.17657804489135742
1615518906.965408,586,0.17555975914001465
1615518907.203696,587,0.1850217878818512
1615518919.45284,620,0.17328202724456787
1615518922.709517,634,0.1719212830066681
1615518925.551662,647,0.16986893117427826
1615518928.716321,661,0.16227377951145172
1615518930.96011,671,0.15369245409965515
1615518945.293521,714,0.1294199377298355
1615518947.181325,722,0.13744090497493744
1615518949.017377,730,0.12542515993118286
1615518956.976065,765,0.14053337275981903
1615518957.918366,769,0.09865224361419678
1615518958.367684,771,0.11111503839492798
1615518961.586868,785,0.1278609037399292
1615518962.061821,787,0.08747224509716034
1615518963.716418,794,0.08863707631826401
1615518969.612065,802,0.08191147446632385
1615518971.019927,808,0.08108483999967575
1615518977.470485,836,0.06509386003017426
1615519005.567011,945,0.04112819582223892
1615519011.276173,971,0.04690856859087944
1615519011.515978,972,0.034579887986183167
1615519012.894898,978,0.0456184446811676
1615519014.262687,984,0.031494200229644775
1615519021.743402,1002,0.021145641803741455
1615519022.428887,1005,0.032370880246162415
1615519024.470194,1014,0.025026779621839523
1615519035.537291,1063,0.009342310950160027
1615519036.180593,1066,0.009215529076755047
1615519039.062349,1078,0.012693235650658607
1615519042.407506,1093,0.019980870187282562
1615519043.815226,1099,0.013777194544672966
1615519048.391134,1104,0.011422182433307171
1615519060.684805,1156,0.016442976891994476
1615519061.949039,1161,0.016572611406445503
1615519062.157751,1162,0.016412403434515
1615519066.753398,1180,0.015331929549574852
1615519069.844668,1193,0.014898299239575863
1615519085.301276,1244,0.016608506441116333
1615519089.16571,1261,0.00816851295530796
1615519105.788933,1316,0.00999867357313633
1615519106.490932,1319,0.0058825029991567135
1615519109.755743,1333,0.011130154132843018
1615519110.684598,1337,0.01827992871403694
1615519122.126087,1385,0.01165284588932991
1615519123.841975,1392,0.010132255032658577
1615519132.544103,1414,0.013700011186301708
1615519135.310857,1426,0.013128889724612236
1615519137.731654,1436,0.01129843108355999
1615519144.874341,1466,0.007745505776256323
1615519147.612189,1477,0.011205237358808517
1615519150.952912,1491,0.011342416517436504
1615519162.189249,1523,0.008591420948505402
1615519169.074991,1552,0.01835668459534645
1615519172.787885,1568,0.008031671866774559
1615519176.84723,1584,0.007881725206971169
1615519177.817387,1588,0.010607808828353882
1615519185.120414,1605,0.012833194807171822
1615519193.279583,1640,0.0089194905012846
1615519203.357411,1682,0.009004557505249977
1615519205.463504,1691,0.015506792813539505
1615519211.589669,1702,0.01146467961370945
1615519213.349735,1709,0.010645492002367973
1615519215.505287,1718,0.010684749111533165
1615519218.79129,1732,0.01134380605071783
1615519219.282161,1734,0.012695650570094585
1615519219.987957,1737,0.011941103264689445
1615519230.755328,1781,0.008793267421424389
1615519244.732702,1826,0.010978689417243004
1615519249.02319,1844,0.020546449348330498
1615519251.170409,1853,0.009493392892181873
1615519254.474154,1866,0.023939764127135277
1615519255.174816,1869,0.02317093126475811
1615519257.165515,1877,0.02394995652139187
1615519270.19496,1917,0.014240410178899765
1615519274.244418,1934,0.008879771456122398
1615519276.594855,1944,0.01745181530714035
1615519277.386528,1947,0.02339930087327957
1615519293.437168,2001,0.01158815249800682
1615519296.336603,2013,0.008662368170917034
1615519301.546726,2036,0.011122958734631538
1615519310.893147,2076,0.013145126402378082
1615519311.096992,2077,0.01184775959700346
1615519312.843531,2085,0.012254982255399227
1615519313.809567,2089,0.025712832808494568
1615519315.541268,2096,0.024307161569595337
1615519331.548326,2149,0.015981893986463547
1615519333.194042,2156,0.011100735515356064
1615519340.861936,2187,0.008390562608838081
1615519341.835722,2191,0.010815925896167755
1615519343.711333,2199,0.013822173699736595
1615519348.834902,2207,0.18697933852672577
1615519349.887466,2211,0.18652212619781494
1615519354.718243,2231,0.18679527938365936
1615519355.838284,2236,0.05221192538738251
1615519356.048442,2237,0.021042417734861374
1615519360.629898,2257,0.024002118036150932
1615519361.866701,2262,0.042735010385513306
1615519366.383933,2281,0.017818322405219078
1615519370.280931,2297,0.02103537693619728
1615519375.790752,2307,0.0238907840102911
1615519378.585329,2319,0.37416601181030273
1615519384.913746,2345,0.01792895793914795
1615519386.978801,2354,0.023803023621439934
1615519395.268929,2389,0.01896863989531994
1615519395.532623,2390,0.017849862575531006
1615519396.024891,2392,0.19572237133979797
1615519409.789245,2436,0.19145451486110687
1615519411.67151,2444,0.031588539481163025
1615519413.744794,2453,0.06331147253513336
1615519414.174809,2455,0.3696494996547699
1615519415.322229,2460,0.3594531714916229
1615519421.348723,2485,0.009102998301386833
1615519421.569381,2486,0.18629226088523865
1615519423.976442,2496,0.0201682411134243
1615519424.449731,2498,0.016211584210395813
1615519428.860872,2503,0.012787869200110435
1615519432.131443,2517,0.009927012957632542
1615519433.580125,2523,0.014534970745444298
1615519435.743856,2532,0.18512532114982605
1615519439.326288,2547,0.18421390652656555
1615519440.739884,2553,0.01922040618956089
1615519456.86079,2606,0.18462543189525604
1615519475.44297,2685,0.18721626698970795
1615519482.282638,2703,0.1882169544696808
1615519491.17568,2740,0.18484356999397278
1615519494.494397,2754,0.011627676896750927
1615519502.777664,2789,0.021649427711963654
1615519525.354979,2872,0.015933824703097343
1615519530.930235,2896,0.02073824405670166
1615519550.935627,2967,0.015257071703672409
1615519552.820811,2975,0.01865103468298912
1615519564.55279,3011,0.02649518847465515
1615519570.989992,3038,0.20417174696922302
1615519571.709669,3041,0.026024185121059418
1615519585.983833,3099,0.01699390821158886
1615519604.212918,3161,0.02490261197090149
1615519607.911398,3177,0.029264671728014946
1615519612.144433,3195,0.03545502573251724
1615519612.37343,3196,0.03486350178718567
1615519623.6479,3230,0.01602594554424286
1615519626.049684,3240,0.0142351184040308
1615519626.706825,3243,0.015779539942741394
1615519626.937467,3244,0.024412063881754875
1615519627.412125,3246,0.015564068220555782
1615519627.632793,3247,0.025997629389166832
1615519644.482938,3305,0.025054607540369034
1615519653.800579,3345,0.014789058826863766
1615519660.967308,3376,0.018238859251141548
1615519670.754628,3403,0.015850193798542023
1615519671.912148,3408,0.015316588804125786
1615519676.947024,3430,0.02055508643388748
1615519681.414936,3449,0.023686153814196587
1615519684.968524,3464,0.018349716439843178
1615519688.937146,3480,0.022863810881972313
1615519698.989959,3509,0.018138114362955093
1615519699.691118,3512,0.02335713431239128
1615519705.590841,3537,0.015993982553482056
1615519720.469595,3600,0.042191650718450546
1615519728.067036,3618,0.030880548059940338
1615519728.545108,3620,0.0545029416680336
1615519728.972664,3622,0.02231176197528839
1615519730.426486,3628,0.02846924215555191
1615519737.074938,3656,0.03968578204512596
1615519740.339735,3670,0.03804241120815277
1615519757.161886,3726,0.030066294595599174
1615519758.128472,3730,0.024435095489025116
1615519760.681959,3741,0.0293000228703022
1615519772.992861,3793,0.02003069594502449
1615519781.197549,3814,0.016687314957380295
1615519782.358156,3819,0.01591820828616619
1615519782.826549,3821,0.019634775817394257
1615519785.191513,3831,0.015407539904117584
1615519792.94179,3864,0.0168137289583683
